voted_for,age,gender,education
Trump,65+,Male,2-year
Biden,65+,Male,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Female,Post-grad
Trump,45-64,Female,4-year
Trump,65+,Male,Some college
Biden,65+,Female,4-year
Biden,65+,Male,2-year
Trump,65+,Male,4-year
Biden,45-64,Female,2-year
Biden,65+,Male,Some college
Trump,65+,Male,Some college
Biden,65+,Female,4-year
Biden,65+,Male,4-year
Biden,45-64,Male,4-year
Trump,65+,Male,4-year
Trump,45-64,Female,Post-grad
Biden,45-64,Female,4-year
Biden,45-64,Female,Some college
Trump,65+,Female,Some college
Trump,65+,Male,4-year
Trump,65+,Male,4-year
Trump,65+,Female,Post-grad
Biden,45-64,Female,4-year
Biden,65+,Male,Post-grad
Trump,45-64,Male,4-year
Trump,65+,Female,2-year
Trump,65+,Male,Post-grad
Trump,65+,Male,2-year
Biden,45-64,Female,4-year
Trump,65+,Female,2-year
Biden,65+,Male,2-year
Biden,45-64,Female,2-year
Trump,45-64,Male,4-year
Trump,65+,Male,4-year
Trump,65+,Male,2-year
Trump,45-64,Female,4-year
Biden,45-64,Male,4-year
Trump,65+,Female,4-year
Trump,65+,Male,Some college
Biden,45-64,Female,Some college
Biden,65+,Female,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Male,Some college
Biden,30-44,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,30-44,Female,Post-grad
Biden,65+,Female,Some college
Trump,65+,Male,Some college
Biden,45-64,Female,Post-grad
Biden,65+,Female,4-year
Biden,65+,Female,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Male,Some college
Biden,65+,Male,Post-grad
Biden,45-64,Female,Post-grad
Trump,30-44,Male,4-year
Trump,65+,Female,Some college
Biden,65+,Female,4-year
Biden,30-44,Female,Post-grad
Biden,45-64,Female,4-year
Biden,45-64,Male,Post-grad
Trump,45-64,Female,4-year
Biden,45-64,Female,Post-grad
Biden,45-64,Male,Post-grad
Biden,45-64,Male,Post-grad
Trump,65+,Male,4-year
Biden,45-64,Female,Post-grad
Biden,65+,Female,Some college
Biden,45-64,Female,4-year
Trump,65+,Male,4-year
Biden,18-29,Female,Post-grad
Trump,45-64,Male,Post-grad
Trump,65+,Male,2-year
Trump,65+,Female,2-year
Biden,65+,Male,Some college
Biden,65+,Male,2-year
Trump,65+,Male,2-year
Trump,65+,Female,Post-grad
Trump,45-64,Female,4-year
Trump,45-64,Male,4-year
Trump,45-64,Male,Some college
Biden,30-44,Female,Post-grad
Biden,45-64,Female,Some college
Biden,65+,Female,Some college
Biden,65+,Male,4-year
Biden,30-44,Female,Post-grad
Biden,45-64,Male,Post-grad
Trump,45-64,Male,4-year
Biden,45-64,Male,4-year
Trump,30-44,Female,Post-grad
Biden,45-64,Female,2-year
Biden,45-64,Female,Some college
Biden,30-44,Male,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Female,Post-grad
Biden,45-64,Female,Post-grad
Biden,45-64,Male,Post-grad
Trump,65+,Male,4-year
Biden,45-64,Female,4-year
Trump,65+,Female,Some college
Trump,45-64,Male,4-year
Trump,65+,Female,Some college
Biden,45-64,Female,Some college
Biden,65+,Male,Some college
Biden,18-29,Male,Post-grad
Trump,65+,Male,Some college
Trump,45-64,Female,2-year
Trump,65+,Male,4-year
Biden,45-64,Female,Post-grad
Trump,45-64,Female,Some college
Biden,65+,Female,Post-grad
Biden,30-44,Female,4-year
Biden,45-64,Male,Post-grad
Trump,65+,Female,Some college
Trump,65+,Male,2-year
Trump,65+,Male,4-year
Biden,30-44,Male,Post-grad
Biden,65+,Male,Some college
Trump,65+,Male,4-year
Biden,65+,Female,Some college
Biden,65+,Female,Post-grad
Biden,45-64,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,45-64,Female,4-year
Biden,45-64,Female,Post-grad
Biden,65+,Male,Some college
Biden,45-64,Female,4-year
Biden,30-44,Male,Post-grad
Trump,45-64,Female,2-year
Trump,65+,Female,2-year
Trump,45-64,Male,Post-grad
Biden,30-44,Female,4-year
Trump,65+,Male,Post-grad
Biden,45-64,Male,Post-grad
Trump,45-64,Female,Post-grad
Biden,45-64,Female,Post-grad
Trump,65+,Female,2-year
Trump,45-64,Female,4-year
Trump,30-44,Female,Some college
Biden,30-44,Female,Post-grad
Trump,45-64,Male,Post-grad
Biden,65+,Female,Some college
Biden,45-64,Female,4-year
Biden,45-64,Female,4-year
Biden,65+,Female,4-year
Biden,45-64,Male,Post-grad
Trump,45-64,Male,4-year
Biden,45-64,Male,Some college
Biden,30-44,Female,Post-grad
Trump,65+,Male,Some college
Biden,45-64,Female,Some college
Trump,45-64,Female,High school graduate
Trump,45-64,Female,2-year
Biden,45-64,Female,2-year
Trump,65+,Male,Post-grad
Biden,45-64,Female,4-year
Biden,45-64,Female,4-year
Trump,65+,Female,Some college
Trump,30-44,Female,2-year
Biden,45-64,Female,4-year
Biden,45-64,Male,Some college
Biden,45-64,Male,Post-grad
Biden,45-64,Female,Some college
Biden,65+,Female,4-year
Biden,30-44,Female,Post-grad
Trump,30-44,Male,4-year
Biden,65+,Male,4-year
Biden,45-64,Female,4-year
Biden,45-64,Female,4-year
Biden,30-44,Female,Post-grad
Trump,30-44,Female,4-year
Biden,65+,Female,2-year
Trump,65+,Male,High school graduate
Trump,65+,Male,Post-grad
Trump,65+,Male,2-year
Biden,65+,Female,Some college
Biden,45-64,Male,4-year
Biden,65+,Female,Some college
Biden,30-44,Male,Post-grad
Trump,45-64,Female,High school graduate
Biden,45-64,Male,Post-grad
Trump,45-64,Female,4-year
Trump,45-64,Female,Some college
Trump,65+,Male,Some college
Biden,65+,Female,2-year
Trump,45-64,Male,4-year
Biden,45-64,Female,4-year
Biden,45-64,Female,Post-grad
Biden,65+,Female,4-year
Trump,30-44,Female,4-year
Biden,45-64,Male,4-year
Biden,45-64,Male,4-year
Trump,45-64,Female,Some college
Biden,45-64,Male,2-year
Trump,30-44,Male,4-year
Trump,45-64,Male,Post-grad
Biden,30-44,Female,4-year
Biden,30-44,Male,4-year
Trump,45-64,Female,2-year
Biden,30-44,Male,Post-grad
Trump,45-64,Male,4-year
Trump,45-64,Female,Post-grad
Biden,65+,Female,4-year
Biden,65+,Female,2-year
Trump,65+,Female,Some college
Trump,65+,Female,Post-grad
Trump,65+,Male,Some college
Biden,45-64,Female,2-year
Biden,45-64,Female,Post-grad
Biden,45-64,Female,Post-grad
Trump,18-29,Female,Post-grad
Biden,18-29,Female,Post-grad
Trump,45-64,Female,Post-grad
Trump,65+,Female,2-year
Biden,65+,Female,4-year
Biden,30-44,Female,Post-grad
Biden,45-64,Male,4-year
Biden,65+,Female,2-year
Biden,45-64,Male,Post-grad
Biden,45-64,Female,Post-grad
Biden,65+,Female,4-year
Biden,45-64,Male,Some college
Biden,45-64,Female,High school graduate
Biden,65+,Male,4-year
Biden,30-44,Male,Post-grad
Trump,45-64,Female,4-year
Biden,45-64,Male,4-year
Trump,45-64,Male,4-year
Trump,65+,Female,4-year
Biden,45-64,Male,Post-grad
Biden,45-64,Female,Some college
Biden,45-64,Female,4-year
Biden,45-64,Female,4-year
Biden,30-44,Female,2-year
Biden,45-64,Female,2-year
Biden,45-64,Female,Post-grad
Biden,45-64,Female,Some college
Biden,30-44,Female,Some college
Biden,45-64,Male,2-year
Biden,45-64,Female,Post-grad
Trump,65+,Female,2-year
Biden,45-64,Female,Some college
Biden,65+,Female,Post-grad
Trump,45-64,Male,Some college
Trump,45-64,Female,Some college
Biden,65+,Male,High school graduate
Biden,65+,Male,Post-grad
Biden,45-64,Female,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Male,2-year
Biden,30-44,Female,Post-grad
Biden,45-64,Female,4-year
Trump,65+,Female,Post-grad
Biden,30-44,Female,Post-grad
Trump,65+,Female,2-year
Biden,65+,Female,4-year
Trump,45-64,Male,4-year
Biden,45-64,Male,Some college
Trump,45-64,Male,Some college
Trump,65+,Male,4-year
Biden,65+,Male,Some college
Trump,45-64,Male,4-year
Biden,45-64,Female,4-year
Trump,45-64,Male,Post-grad
Trump,65+,Male,Post-grad
Trump,65+,Female,Some college
Biden,65+,Female,4-year
Biden,45-64,Female,4-year
Trump,65+,Female,2-year
Biden,45-64,Female,Post-grad
Biden,45-64,Female,Some college
Biden,65+,Female,2-year
Biden,65+,Male,Post-grad
Trump,45-64,Female,4-year
Trump,45-64,Female,2-year
Trump,65+,Female,Some college
Biden,45-64,Female,4-year
Trump,45-64,Female,Some college
Biden,30-44,Male,Post-grad
Biden,45-64,Female,4-year
Biden,30-44,Female,Some college
Trump,65+,Female,2-year
Biden,45-64,Female,Post-grad
Biden,65+,Male,Post-grad
Trump,65+,Male,Some college
Trump,65+,Female,Some college
Biden,65+,Male,High school graduate
Trump,45-64,Male,4-year
Trump,45-64,Male,Post-grad
Biden,45-64,Female,4-year
Trump,65+,Female,4-year
Trump,65+,Male,Post-grad
Biden,45-64,Male,Post-grad
Biden,30-44,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Female,2-year
Biden,45-64,Female,4-year
Biden,45-64,Female,4-year
Trump,18-29,Female,Post-grad
Biden,45-64,Male,Some college
Biden,65+,Male,Some college
Biden,30-44,Female,Post-grad
Biden,65+,Male,Some college
Trump,45-64,Male,Some college
Biden,45-64,Male,4-year
Trump,65+,Male,Post-grad
Trump,45-64,Female,2-year
Biden,30-44,Male,Post-grad
Biden,45-64,Female,4-year
Biden,65+,Male,Post-grad
Biden,45-64,Female,4-year
Biden,65+,Male,Post-grad
Trump,45-64,Male,4-year
Trump,65+,Female,4-year
Biden,65+,Male,Some college
Trump,65+,Male,4-year
Biden,30-44,Female,4-year
Biden,65+,Female,Some college
Trump,45-64,Female,2-year
Biden,65+,Female,4-year
Biden,45-64,Female,Post-grad
Biden,65+,Male,Post-grad
Trump,65+,Male,4-year
Biden,45-64,Male,4-year
Biden,30-44,Female,4-year
Biden,45-64,Male,4-year
Biden,65+,Male,4-year
Trump,30-44,Female,Post-grad
Trump,65+,Male,Post-grad
Biden,65+,Female,Post-grad
Trump,65+,Female,4-year
Biden,65+,Male,Post-grad
Biden,65+,Female,Post-grad
Biden,45-64,Female,Post-grad
Biden,30-44,Male,Post-grad
Biden,65+,Female,Some college
Biden,45-64,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,65+,Male,4-year
Trump,45-64,Female,4-year
Biden,45-64,Female,Post-grad
Biden,65+,Female,4-year
Trump,65+,Male,Some college
Biden,30-44,Female,4-year
Biden,45-64,Male,4-year
Biden,65+,Female,2-year
Trump,45-64,Male,4-year
Trump,65+,Male,Post-grad
Biden,65+,Female,Some college
Trump,65+,Female,High school graduate
Biden,45-64,Male,4-year
Biden,45-64,Female,Some college
Biden,45-64,Female,4-year
Biden,65+,Female,Post-grad
Biden,65+,Male,Post-grad
Biden,65+,Female,4-year
Trump,65+,Female,2-year
Biden,65+,Male,Post-grad
Trump,65+,Male,4-year
Trump,65+,Male,4-year
Trump,45-64,Female,2-year
Trump,30-44,Female,Post-grad
Trump,45-64,Male,4-year
Biden,45-64,Female,4-year
Biden,30-44,Female,4-year
Biden,45-64,Female,4-year
Trump,65+,Female,Some college
Biden,45-64,Male,4-year
Trump,45-64,Female,Some college
Biden,65+,Female,4-year
Biden,45-64,Female,Some college
Biden,45-64,Female,Post-grad
Trump,65+,Male,High school graduate
Trump,65+,Male,4-year
Biden,30-44,Male,Post-grad
Trump,45-64,Female,Post-grad
Trump,65+,Male,4-year
Biden,65+,Male,2-year
Biden,30-44,Female,Post-grad
Trump,65+,Male,4-year
Trump,65+,Male,4-year
Biden,30-44,Male,4-year
Biden,45-64,Male,Some college
Biden,65+,Male,Post-grad
Trump,30-44,Male,Post-grad
Biden,65+,Female,Post-grad
Biden,65+,Female,Post-grad
Biden,30-44,Male,4-year
Biden,65+,Female,Some college
Trump,45-64,Female,4-year
Trump,45-64,Male,4-year
Trump,65+,Male,4-year
Trump,65+,Male,Some college
Biden,45-64,Male,Post-grad
Trump,45-64,Female,Some college
Biden,65+,Female,Post-grad
Biden,65+,Male,4-year
Biden,65+,Male,Post-grad
Trump,65+,Female,2-year
Trump,45-64,Male,Post-grad
Biden,45-64,Female,4-year
Biden,65+,Female,4-year
Trump,45-64,Male,4-year
Biden,45-64,Male,4-year
Biden,30-44,Female,Post-grad
Biden,65+,Female,Post-grad
Trump,45-64,Male,Some college
Trump,45-64,Female,Post-grad
Trump,65+,Male,4-year
Biden,45-64,Male,4-year
Trump,45-64,Male,4-year
Biden,45-64,Female,4-year
Trump,30-44,Male,Post-grad
Trump,65+,Male,Some college
Biden,65+,Male,4-year
Biden,65+,Male,2-year
Biden,65+,Male,4-year
Biden,65+,Female,4-year
Biden,45-64,Male,Post-grad
Biden,65+,Male,4-year
Trump,65+,Female,Some college
Biden,45-64,Female,2-year
Biden,45-64,Female,Post-grad
Trump,45-64,Female,Some college
Trump,65+,Male,4-year
Biden,65+,Female,Some college
Biden,65+,Female,Some college
Biden,45-64,Female,Post-grad
Biden,30-44,Male,Post-grad
Trump,45-64,Female,High school graduate
Biden,45-64,Male,Some college
Biden,45-64,Female,4-year
Trump,65+,Female,Some college
Biden,30-44,Female,Some college
Trump,45-64,Female,Some college
Biden,45-64,Male,4-year
Trump,45-64,Male,2-year
Biden,65+,Female,Some college
Biden,45-64,Female,Post-grad
Biden,45-64,Male,Some college
Biden,65+,Female,Post-grad
Trump,65+,Male,4-year
Trump,65+,Male,2-year
Biden,65+,Male,4-year
Biden,65+,Male,2-year
Biden,65+,Female,Post-grad
Biden,45-64,Female,Some college
Biden,65+,Female,4-year
Biden,45-64,Male,Some college
Biden,45-64,Male,Some college
Biden,45-64,Female,Post-grad
Biden,45-64,Male,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Female,2-year
Trump,65+,Female,4-year
Biden,65+,Male,4-year
Trump,45-64,Female,4-year
Biden,30-44,Female,Post-grad
Biden,45-64,Male,Post-grad
Trump,65+,Male,4-year
Biden,45-64,Female,Some college
Trump,65+,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,30-44,Male,4-year
Trump,45-64,Female,4-year
Trump,45-64,Male,2-year
Biden,65+,Female,Post-grad
Biden,45-64,Female,4-year
Trump,45-64,Female,2-year
Trump,65+,Male,Some college
Biden,65+,Male,Post-grad
Trump,45-64,Female,4-year
Biden,30-44,Female,4-year
Biden,30-44,Male,4-year
Trump,65+,Male,4-year
Biden,30-44,Male,Post-grad
Biden,65+,Female,4-year
Biden,45-64,Female,4-year
Biden,65+,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,65+,Male,4-year
Biden,45-64,Female,4-year
Trump,45-64,Male,Some college
Biden,30-44,Female,4-year
Biden,30-44,Male,4-year
Biden,65+,Female,4-year
Biden,45-64,Male,Some college
Biden,65+,Male,Post-grad
Biden,45-64,Female,4-year
Trump,65+,Male,Post-grad
Biden,30-44,Male,Post-grad
Biden,30-44,Male,4-year
Biden,65+,Male,Post-grad
Trump,65+,Male,Post-grad
Biden,45-64,Male,4-year
Biden,65+,Male,Post-grad
Biden,65+,Male,High school graduate
Biden,45-64,Male,Post-grad
Trump,65+,Male,Post-grad
Biden,65+,Female,2-year
Biden,65+,Male,4-year
Trump,65+,Female,Post-grad
Biden,65+,Male,Post-grad
Trump,45-64,Female,Some college
Biden,45-64,Female,Some college
Trump,45-64,Female,4-year
Biden,30-44,Female,Some college
Trump,45-64,Female,4-year
Biden,30-44,Male,4-year
Biden,45-64,Female,Some college
Biden,65+,Female,4-year
Biden,65+,Male,Post-grad
Trump,65+,Male,4-year
Trump,65+,Male,4-year
Biden,45-64,Female,Post-grad
Biden,45-64,Male,4-year
Biden,30-44,Male,4-year
Biden,65+,Male,Post-grad
Trump,45-64,Female,4-year
Biden,65+,Male,Post-grad
Biden,45-64,Male,Some college
Biden,30-44,Male,4-year
Trump,65+,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,30-44,Female,Post-grad
Trump,65+,Male,4-year
Biden,65+,Female,Some college
Biden,45-64,Female,Post-grad
Trump,65+,Male,4-year
Biden,30-44,Female,4-year
Biden,30-44,Female,4-year
Trump,65+,Male,Post-grad
Trump,65+,Male,2-year
Trump,45-64,Female,4-year
Biden,30-44,Male,Post-grad
Biden,65+,Male,Some college
Trump,65+,Male,4-year
Trump,45-64,Male,Post-grad
Trump,45-64,Male,Some college
Trump,45-64,Male,Some college
Biden,45-64,Female,Some college
Biden,65+,Male,4-year
Biden,45-64,Male,Some college
Trump,65+,Female,2-year
Trump,45-64,Female,2-year
Biden,65+,Male,Post-grad
Trump,65+,Male,Post-grad
Biden,65+,Male,4-year
Biden,45-64,Female,4-year
Biden,65+,Female,Some college
Biden,30-44,Male,4-year
Trump,45-64,Female,Some college
Trump,30-44,Male,Post-grad
Biden,65+,Male,Post-grad
Trump,45-64,Male,2-year
Trump,65+,Female,4-year
Biden,65+,Male,Post-grad
Biden,65+,Female,4-year
Biden,65+,Female,Some college
Biden,65+,Male,4-year
Biden,30-44,Female,Post-grad
Biden,45-64,Female,2-year
Trump,45-64,Female,Some college
Biden,65+,Male,Post-grad
Biden,45-64,Male,Post-grad
Biden,65+,Male,Post-grad
Biden,65+,Female,Some college
Biden,65+,Male,4-year
Trump,45-64,Male,4-year
Trump,65+,Male,Post-grad
Biden,65+,Male,4-year
Biden,45-64,Female,4-year
Biden,45-64,Female,Some college
Biden,30-44,Female,Post-grad
Biden,45-64,Female,4-year
Biden,65+,Male,2-year
Trump,65+,Male,2-year
Trump,45-64,Male,4-year
Biden,45-64,Male,Post-grad
Biden,65+,Female,4-year
Biden,65+,Male,4-year
Biden,65+,Female,Some college
Trump,65+,Female,Some college
Trump,45-64,Female,Post-grad
Biden,65+,Female,Post-grad
Biden,45-64,Male,2-year
Trump,65+,Male,2-year
Trump,65+,Female,Post-grad
Biden,65+,Female,Some college
Biden,65+,Male,Some college
Trump,30-44,Female,2-year
Biden,65+,Female,Post-grad
Trump,45-64,Female,Some college
Biden,65+,Male,Post-grad
Biden,65+,Female,2-year
Trump,45-64,Female,4-year
Biden,18-29,Male,4-year
Biden,45-64,Female,4-year
Biden,45-64,Male,Some college
Biden,65+,Male,4-year
Biden,45-64,Male,4-year
Biden,45-64,Male,4-year
Trump,45-64,Male,Some college
Biden,65+,Female,4-year
Trump,30-44,Male,4-year
Trump,45-64,Male,4-year
Biden,65+,Female,2-year
Trump,65+,Female,Post-grad
Biden,45-64,Male,4-year
Trump,45-64,Male,Post-grad
Biden,65+,Female,Post-grad
Trump,45-64,Male,4-year
Biden,65+,Female,Some college
Biden,45-64,Female,Some college
Biden,45-64,Female,4-year
Biden,45-64,Male,Some college
Biden,65+,Female,4-year
Biden,45-64,Female,High school graduate
Trump,65+,Female,Post-grad
Biden,30-44,Female,4-year
Biden,65+,Female,2-year
Biden,65+,Male,Post-grad
Biden,45-64,Male,4-year
Trump,45-64,Male,Some college
Biden,45-64,Female,Some college
Biden,45-64,Male,4-year
Biden,45-64,Male,4-year
Biden,45-64,Female,4-year
Trump,65+,Male,Some college
Biden,65+,Female,Post-grad
Biden,30-44,Female,Post-grad
Trump,45-64,Male,4-year
Trump,45-64,Male,Some college
Biden,30-44,Male,Post-grad
Biden,65+,Female,2-year
Biden,65+,Male,Post-grad
Trump,65+,Male,Post-grad
Trump,65+,Male,High school graduate
Trump,65+,Female,Some college
Biden,45-64,Female,Post-grad
Biden,45-64,Male,4-year
Biden,45-64,Male,Some college
Trump,45-64,Female,Post-grad
Trump,45-64,Female,4-year
Trump,45-64,Male,2-year
Biden,65+,Female,4-year
Trump,45-64,Male,2-year
Trump,30-44,Male,4-year
Biden,30-44,Female,4-year
Trump,45-64,Female,4-year
Biden,30-44,Female,2-year
Biden,65+,Female,Post-grad
Trump,45-64,Female,2-year
Biden,65+,Male,Post-grad
Trump,45-64,Female,High school graduate
Biden,65+,Male,4-year
Biden,30-44,Female,High school graduate
Biden,65+,Male,Some college
Biden,30-44,Female,Some college
Biden,45-64,Female,Post-grad
Trump,45-64,Female,Some college
Biden,45-64,Female,Some college
Biden,65+,Female,Post-grad
Trump,45-64,Female,Some college
Trump,45-64,Female,4-year
Biden,65+,Male,4-year
Biden,65+,Female,Post-grad
Biden,45-64,Male,4-year
Biden,65+,Female,2-year
Trump,30-44,Female,Some college
Biden,45-64,Female,Post-grad
Biden,65+,Male,4-year
Trump,65+,Female,High school graduate
Trump,45-64,Female,2-year
Biden,45-64,Female,Some college
Biden,45-64,Female,Some college
Biden,45-64,Female,4-year
Trump,65+,Female,2-year
Biden,65+,Female,Post-grad
Biden,45-64,Female,4-year
Trump,65+,Female,High school graduate
Biden,65+,Female,Post-grad
Biden,65+,Female,2-year
Trump,65+,Female,4-year
Biden,30-44,Female,Post-grad
Trump,65+,Male,2-year
Trump,65+,Female,High school graduate
Trump,45-64,Female,High school graduate
Trump,45-64,Female,High school graduate
Biden,30-44,Female,4-year
Trump,45-64,Female,2-year
Biden,65+,Female,4-year
Biden,45-64,Female,Post-grad
Biden,65+,Male,Some college
Biden,45-64,Male,4-year
Trump,45-64,Female,Post-grad
Biden,45-64,Female,4-year
Biden,45-64,Female,High school graduate
Trump,30-44,Female,High school graduate
Trump,65+,Male,4-year
Trump,65+,Female,High school graduate
Trump,45-64,Female,Some college
Trump,30-44,Female,4-year
Biden,65+,Female,2-year
Biden,45-64,Male,4-year
Trump,65+,Male,4-year
